Week,Cookie Name
1.0,Crave (Milk) Chocolate Chip Cookie
1.0,Twix
1.0,Eclair
1.0,Almond Joy
1.0,Cinnaroll Poptart
1.0,Maple Doodle
2.0,Crave (Milk) Chocolate Chip Cookie
2.0,Twix
2.0,Raspberry Cheesecake
2.0,Cherry Danish
2.0,Oreo Dirt Pie
2.0,Raspberry Poptart
3.0,Crave (Milk) Chocolate Chip Cookie
3.0,Horchata Churro
3.0,PB Bananarama
3.0,Stuffed Cookies and Cream
3.0,Irish Mint/Grinch
3.0,Cookies N' Milk
4.0,Crave (Milk) Chocolate Chip Cookie
4.0,Chilled Cookies and Cream
4.0,Cookie Butter Cheesecake
4.0,Chocolate Cupcake
4.0,Coconut Crave
4.0,White Caramel Macadamia Nut
5.0,Crave (Milk) Chocolate Chip Cookie
5.0,Brookies and Cream
5.0,Chocolate Cupcake
5.0,Banana Bread
5.0,Caramel Snickerdoodle
5.0,Dirt Cup Cookie
6.0,Crave (Milk) Chocolate Chip Cookie
6.0,Biscoff Explosion
6.0,Chilled Biscoff Oreo
6.0,Iced Oatmeal
6.0,Crave (Semi Sweet) Chocolate Chip Cookie
6.0,Carrot Cake
7.0,Crave (Milk) Chocolate Chip Cookie
7.0,Biscoff Explosion
7.0,Coconut Cream Pie
7.0,Chilled Churro
7.0,Key Lime Pie
7.0,Chocolate Lava
8.0,Crave (Milk) Chocolate Chip Cookie
8.0,Baked Butterbeer
8.0,Oreo Dirt Pie
8.0,Smoreo
8.0,Milk and Cookies
8.0,Chai Eggnog
9.0,Crave (Milk) Chocolate Chip Cookie
9.0,Better Than XXX
9.0,Key Lime Pie
9.0,Pumpkin Chocolate Chip
9.0,Oatmeal M&M
9.0,Coffee Chocolate Swirl
10.0,Crave (Milk) Chocolate Chip Cookie
10.0,Chilled Cookies and Cream
10.0,French Silk Pie
10.0,Strawberry Shortcake
10.0,Waffle Crisp
10.0,Rocky Road
11.0,Crave (Milk) Chocolate Chip Cookie
11.0,Flintstone
11.0,Caramel Fudge Sundae
11.0,Pumpkin Smoreo
11.0,Salted Caramel Brownie
11.0,Recess Remix
12.0,Crave (Milk) Chocolate Chip Cookie
12.0,Brookies and Cream
12.0,Coconut Cream Pie
12.0,Oatmeal Mixed Chip
12.0,Orange Cream Saver
12.0,Cinnamon Roll
13.0,Crave (Milk) Chocolate Chip Cookie
13.0,S'mores
13.0,Strawberry Shortcake
13.0,Almond Joy
13.0,Raspberry Muffin
13.0,Pumpkin Spice Cinnaroll
14.0,Crave (Milk) Chocolate Chip Cookie
14.0,S'mores
14.0,Key Lime Pie
14.0,Crave Pink Sugar
14.0,Blueberry Poptart
14.0,Holiday Cupcake
15.0,Crave (Milk) Chocolate Chip Cookie
15.0,Twix
15.0,Almond Joy
15.0,Biscoff Gingerbread
15.0,Toffee Caramel Crunch
15.0,PB Explosion
16.0,Crave (Milk) Chocolate Chip Cookie
16.0,Rockstar
16.0,Raspberry Cheesecake
16.0,Better Than XXX
16.0,Coconut Macadamia
16.0,Fluffer Nutter Butter
17.0,Crave (Milk) Chocolate Chip Cookie
17.0,Banana Cream Pie
17.0,Chocolate Cream Pie
17.0,Cookie Butter Cheesecake
17.0,Red Velvet
17.0,Coffee Cake
18.0,Crave (Milk) Chocolate Chip Cookie
18.0,Chilled Cookies and Cream
18.0,Holiday Cupcake
18.0,Crave Butter Cake
18.0,Oreo Cheesecake
18.0,Caramel Apple Pie
19.0,Crave (Milk) Chocolate Chip Cookie
19.0,Twix
19.0,French Silk Pie
19.0,Bisc-oreo
19.0,Carmelita
19.0,Crave Cupcake
20.0,Crave (Milk) Chocolate Chip Cookie
20.0,French Silk Pie
20.0,Oreo Dirt Pie
20.0,PB Bananarama
20.0,Peanut Butter Cup/Hallow-Reese's
20.0,Birthday Cake
21.0,Crave (Milk) Chocolate Chip Cookie
21.0,Cookie Monster
21.0,French Silk Pie
21.0,Buttercake
21.0,Lemon Bar
21.0,Christmas Stuffed Cookies and Cream
22.0,Crave (Milk) Chocolate Chip Cookie
22.0,Rockstar
22.0,Crave Pink Sugar
22.0,Strawberry Poptart
22.0,Better than Pumpkin Pie
22.0,Cinnaroll Poptart
23.0,Crave (Milk) Chocolate Chip Cookie
23.0,Brookies and Cream
23.0,Raspberry Cheesecake
23.0,Chilled Biscoff Oreo
23.0,Magic Cookie Bar
23.0,Cannoli Cookie
24.0,Crave (Milk) Chocolate Chip Cookie
24.0,Banana Cream Pie
24.0,French Silk Pie
24.0,Loaded PBN
24.0,Eclair
24.0,Cherry Danish
25.0,Crave (Milk) Chocolate Chip Cookie
25.0,Cookie Monster
25.0,Raspberry Cheesecake
25.0,Stuffed Cookies and Cream
25.0,White Caramel Macadamia Nut
25.0,Parent Trap
26.0,Crave (Milk) Chocolate Chip Cookie
26.0,Baked Butterbeer
26.0,PB Bananarama
26.0,Pecan Pie
26.0,Caramel Snickerdoodle
26.0,Maple Doodle
27.0,Crave (Milk) Chocolate Chip Cookie
27.0,Twix
27.0,Dirt Cup Cookie
27.0,Warm Biscoff Oreo
27.0,Coconut Crave
27.0,Peanut butter Semi-sweet
28.0,Crave (Milk) Chocolate Chip Cookie
28.0,Twix
28.0,Banana Cream Pie
28.0,Crave Cupcake
28.0,Chocolate Cupcake
28.0,Raspberry Poptart
29.0,Crave (Milk) Chocolate Chip Cookie
29.0,Better Than XXX
29.0,Orange Cream Saver
29.0,Chilled Cookies and Cream
29.0,Cookies N' Milk
29.0,Banana Bread
30.0,Crave (Milk) Chocolate Chip Cookie
30.0,Banana Cream Pie
30.0,Crave Pink Sugar
30.0,
30.0,Smoreo
30.0,Crave (Semi Sweet) Chocolate Chip Cookie
31.0,Crave (Milk) Chocolate Chip Cookie
31.0,Twix
31.0,Cannoli Cookie
31.0,Iced Oatmeal
31.0,Cookies N' Caramel
31.0,Irish Mint/Grinch
32.0,Crave (Milk) Chocolate Chip Cookie
32.0,Flintstone
32.0,Cookie Butter Cheesecake
32.0,Coffee Chocolate Swirl
32.0,Pumpkin Smoreo
32.0,Caramel Chocolantern
33.0,Crave (Milk) Chocolate Chip Cookie
33.0,French Silk Pie
33.0,Butterfinger Cheesecake
33.0,Samoa
33.0,Chocolate Lava
33.0,Salted Caramel Brownie
34.0,Crave (Milk) Chocolate Chip Cookie
34.0,Baked Butterbeer
34.0,Almond Joy
34.0,Carrot Cake
34.0,Chilled Churro
34.0,Recess Remix
35.0,Crave (Milk) Chocolate Chip Cookie
35.0,French Silk Pie
35.0,Better than Pumpkin Pie
35.0,Rocky Road
35.0,Pumpkin Spice Cinnaroll
35.0,Blueberry Poptart
36.0,Crave (Milk) Chocolate Chip Cookie
36.0,Eclair
36.0,Oreo Dirt Pie
36.0,Chilled Churro
36.0,Chai Eggnog
36.0,S'mores
37.0,Crave (Milk) Chocolate Chip Cookie
37.0,Banana Cream Pie
37.0,Chilled Churro
37.0,Raspberry Muffin
37.0,Milk and Cookies
37.0,Key Lime Pie
38.0,Crave (Milk) Chocolate Chip Cookie
38.0,Horchata Churro
38.0,Crave Cupcake
38.0,Pumpkin Chocolate Chip
38.0,Biscoff Gingerbread
38.0,Fluffer Nutter Butter
39.0,Crave (Milk) Chocolate Chip Cookie
39.0,Stuffed Cookies and Cream
39.0,Cannoli Cookie
39.0,Oreo Cheesecake
39.0,Holiday Cupcake
39.0,PB Explosion
40.0,Crave (Milk) Chocolate Chip Cookie
40.0,Cookie Monster
40.0,Coconut Crave
40.0,Crave Butter Cake
40.0,Bisc-oreo
40.0,Red Velvet
41.0,Crave (Milk) Chocolate Chip Cookie
41.0,Biscoff Explosion
41.0,Crave Cupcake
41.0,Coconut Macadamia
41.0,Toffee Caramel Crunch
41.0,Carmelita
42.0,Crave (Milk) Chocolate Chip Cookie
42.0,Stuffed Cookies and Cream
42.0,Holiday Cupcake
42.0,Lemon Bar
42.0,Waffle Crisp
42.0,Buttercake
43.0,Crave (Milk) Chocolate Chip Cookie
43.0,French Silk Pie
43.0,Chilled Biscoff Oreo
43.0,Birthday Cake
43.0,Peanut Butter Cup/Hallow-Reese's
43.0,Cinnamon Roll
44.0,Crave (Milk) Chocolate Chip Cookie
44.0,Banana Cream Pie
44.0,Strawberry Shortcake
44.0,Caramel Apple Pie
44.0,Christmas Stuffed Cookies and Cream
44.0,Oatmeal M&M
45.0,Crave (Milk) Chocolate Chip Cookie
45.0,Brookies and Cream
45.0,Chilled Churro
45.0,Chocolate Cupcake
45.0,Strawberry Poptart
45.0,Cherry Danish
46.0,Crave (Milk) Chocolate Chip Cookie
46.0,Baked Butterbeer
46.0,Holiday Cupcake
46.0,Magic Cookie Bar
46.0,Loaded PBN
46.0,White Caramel Macadamia Nut
47.0,Crave (Milk) Chocolate Chip Cookie
47.0,Cookie Monster
47.0,Chocolate Cream Pie
47.0,Coffee Cake
47.0,Caramel Snickerdoodle
47.0,Cinnaroll Poptart
48.0,Crave (Milk) Chocolate Chip Cookie
48.0,Flintstone
48.0,Chocolate Cream Pie
48.0,Dirt Cup Cookie
48.0,Raspberry Cheesecake
48.0,Oatmeal Mixed Chip
49.0,Crave (Milk) Chocolate Chip Cookie
49.0,Eclair
49.0,French Silk Pie
49.0,Peanut butter Semi-sweet
49.0,Raspberry Poptart
49.0,Pecan Pie
50.0,Crave (Milk) Chocolate Chip Cookie
50.0,Horchata Churro
50.0,Butterfinger Cheesecake
50.0,Orange Cream Saver
50.0,Chilled Cookies and Cream
50.0,Warm Biscoff Oreo
51.0,Crave (Milk) Chocolate Chip Cookie
51.0,French Silk Pie
51.0,Almond Joy
51.0,Crave Pink Sugar
51.0,Maple Doodle
51.0,Smoreo
52.0,Crave (Milk) Chocolate Chip Cookie
52.0,Eclair
52.0,Cannoli Cookie
52.0,Crave (Semi Sweet) Chocolate Chip Cookie
52.0,Parent Trap
52.0,Cookies N' Milk
